,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,22699326779.0,22699326779.0,22699326779.0,22699326779.0
Share Issued,22699326779.0,22699326779.0,22699326779.0,22699326779.0
Net Debt,6743568182000.0,7363160594000.0,9036207135000.0,9108054949000.0
Total Debt,7511936164000.0,8462367311000.0,10098449838000.0,9956725465000.0
Tangible Book Value,10665730075000.0,9581093326000.0,7783668929000.0,8514265208000.0
Invested Capital,18208001149000.0,18073795547000.0,17912453677000.0,18497360855000.0
Working Capital,2572530655000.0,5531831541000.0,4644546217000.0,5517664514000.0
Net Tangible Assets,10665730075000.0,9581093326000.0,7783668929000.0,8514265208000.0
Capital Lease Obligations,,,0.0,3964728000.0
Common Stock Equity,10696064985000.0,9611428236000.0,7814003839000.0,8544600118000.0
Total Capitalization,13700779469000.0,17169188302000.0,15526908374000.0,17707914430000.0
Total Equity Gross Minority Interest,13451404486000.0,12469561080000.0,10539777680000.0,11355225034000.0
Minority Interest,2755339501000.0,2858132844000.0,2725773841000.0,2810624916000.0
Stockholders Equity,10696064985000.0,9611428236000.0,7814003839000.0,8544600118000.0
Other Equity Interest,-5255739000.0,-5255739000.0,-5255739000.0,14219809000.0
Retained Earnings,7183759617000.0,6103512431000.0,4108595396000.0,4758954964000.0
Additional Paid In Capital,1497343699000.0,1497343699000.0,1497343699000.0,1497343699000.0
Capital Stock,2269932678000.0,2269932678000.0,2269932678000.0,2269932678000.0
Common Stock,2269932678000.0,2269932678000.0,2269932678000.0,2269932678000.0
Total Liabilities Net Minority Interest,14876147126000.0,16148220661000.0,19071333513000.0,19036134922000.0
Total Non Current Liabilities Net Minority Interest,6337777055000.0,10376665454000.0,11756987969000.0,12877222941000.0
Derivative Product Liabilities,,0.0,53528497000.0,105688133000.0
Non Current Pension And Other Postretirement Benefit Plans,161707238000.0,155249840000.0,149733423000.0,191308601000.0
Non Current Deferred Revenue,3158101239000.0,2661558361000.0,3839137516000.0,3415228111000.0
Non Current Deferred Taxes Liabilities,13254094000.0,2097187000.0,1683998000.0,1683784000.0
Long Term Debt And Capital Lease Obligation,3004714484000.0,7557760066000.0,7712904535000.0,9163314312000.0
Long Term Debt,3004714484000.0,7557760066000.0,7712904535000.0,9163314312000.0
Current Liabilities,8538370071000.0,5771555207000.0,7314345544000.0,6158911981000.0
Other Current Liabilities,,,,975773000.0
Current Debt And Capital Lease Obligation,4507221680000.0,904607245000.0,2385545303000.0,793411153000.0
Current Capital Lease Obligation,,,0.0,3964728000.0
Current Debt,4507221680000.0,904607245000.0,2385545303000.0,789446425000.0
Payables,2549509222000.0,2259581244000.0,2212897556000.0,2076160840000.0
Other Payable,1704165644000.0,1289148480000.0,1140036643000.0,1218252660000.0
Dividends Payable,,,0.0,2672163000.0
Total Tax Payable,50627615000.0,41897705000.0,111003048000.0,62179223000.0
Accounts Payable,794715963000.0,928535059000.0,961857865000.0,793056794000.0
Total Assets,28327551612000.0,28617781741000.0,29611111193000.0,30391359956000.0
Total Non Current Assets,17216650886000.0,17314394993000.0,17652219432000.0,18714783461000.0
Other Non Current Assets,4305665478000.0,4617377864000.0,4918421104000.0,5780438558000.0
Non Current Prepaid Assets,3325056000.0,2130056000.0,0.0,0.0
