,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,962551403000.0,2478043316000.0,290150335000.0,562009694000.0
Repayment Of Debt,-2868350378000.0,-2271124002000.0,-184181228000.0,-2148737359000.0
Issuance Of Debt,3063913842000.0,148358966000.0,278773695000.0,2084091310000.0
Issuance Of Capital Stock,,,0.0,343619000.0
Capital Expenditure,-26266902000.0,-38859011000.0,-183917216000.0,-396674298000.0
End Cash Position,768367982000.0,1099206717000.0,1062242703000.0,844705788000.0
Beginning Cash Position,1099206717000.0,1062242703000.0,844705788000.0,849718766000.0
Effect Of Exchange Rate Changes,1478805000.0,2898387000.0,-924079000.0,281047000.0
Changes In Cash,-332317540000.0,34065627000.0,218460994000.0,-5294025000.0
Financing Cash Flow,-6086240000.0,-2271804636000.0,-175332162000.0,-416978513000.0
Net Other Financing Charges,-43494320000.0,5188000000.0,-161881092000.0,-115440603000.0
Net Common Stock Issuance,,,0.0,343619000.0
Common Stock Issuance,,,0.0,343619000.0
Net Issuance Payments Of Debt,195563464000.0,-2122765036000.0,94592467000.0,-64646049000.0
Net Short Term Debt Issuance,-6050269000.0,31442556000.0,32693054000.0,-14446876000.0
Short Term Debt Payments,-70380111000.0,-62328410000.0,-26953615000.0,-43055289000.0
Short Term Debt Issuance,64329842000.0,93770966000.0,59646669000.0,28608413000.0
Net Long Term Debt Issuance,201613733000.0,-2154207592000.0,61899413000.0,-50199173000.0
Long Term Debt Payments,-2797970267000.0,-2208795592000.0,-157227613000.0,-2105682070000.0
Long Term Debt Issuance,2999584000000.0,54588000000.0,219127026000.0,2055482897000.0
Investing Cash Flow,-1315049605000.0,-211032064000.0,-80274395000.0,-546999504000.0
Net Other Investing Changes,-1149631817000.0,-17446680000.0,5665715000.0,184082074000.0
Interest Received Cfi,20178611000.0,19102895000.0,17919247000.0,23096225000.0
Dividends Received Cfi,116960635000.0,31875000000.0,1400000000.0,34734535000.0
Net Investment Purchase And Sale,46929358000.0,70496748000.0,120165957000.0,-66839244000.0
Sale Of Investment,131232362000.0,70496748000.0,120165957000.0,0.0
Purchase Of Investment,-84303004000.0,0.0,,-66839244000.0
Net Investment Properties Purchase And Sale,-92884779000.0,-80195377000.0,-44523298000.0,-325417296000.0
Sale Of Investment Properties,0.0,2114797000.0,54005448000.0,
Purchase Of Investment Properties,-92884779000.0,-82310174000.0,-98528746000.0,-325417296000.0
Net Business Purchase And Sale,-230672551000.0,-196954589000.0,0.0,
Sale Of Business,153000000000.0,7876455000.0,0.0,
Purchase Of Business,-383672551000.0,-204831044000.0,0.0,
Net PPE Purchase And Sale,-25929062000.0,-37910061000.0,-180902016000.0,-396655798000.0
Sale Of PPE,337840000.0,948950000.0,3015200000.0,18500000.0
Purchase Of PPE,-26266902000.0,-38859011000.0,-183917216000.0,-396674298000.0
Cash Flowsfromusedin Operating Activities Direct,988818305000.0,2516902327000.0,474067551000.0,958683992000.0
Taxes Refund Paid Direct,-111359420000.0,-207266892000.0,-78259358000.0,-158109472000.0
Interest Paid Direct,-627184678000.0,-1082854171000.0,-997057567000.0,-1008819744000.0
Classesof Cash Payments,-3263121643000.0,-3261717906000.0,-3039844470000.0,-2204164280000.0
Paymentson Behalfof Employees,-557363731000.0,-554467484000.0,-444520680000.0,-407721732000.0
Paymentsto Suppliersfor Goodsand Services,-2705757912000.0,-2707250422000.0,-2595323790000.0,-1796442548000.0
Classesof Cash Receiptsfrom Operating Activities,4990484046000.0,7068741296000.0,4589228946000.0,4329777488000.0
Receiptsfrom Customers,4990484046000.0,7068741296000.0,4589228946000.0,4329777488000.0
