,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-4674661859.590174,-400622637.560919,-22606976040.0,-1033995818.08113
Tax Rate For Calcs,0.049225,0.023995,0.22,0.129787
Normalized EBITDA,2002665334000.0,3092523759000.0,443255642000.0,1022413986000.0
Total Unusual Items,-94965309000.0,-16695807000.0,-102758982000.0,-7966851000.0
Total Unusual Items Excluding Goodwill,-94965309000.0,-16695807000.0,-102758982000.0,-7966851000.0
Net Income From Continuing Operation Net Minority Interest,1082668010000.0,1994917035000.0,-650359568000.0,-136786109000.0
Reconciled Depreciation,44837170000.0,45710846000.0,54212269000.0,57247434000.0
Reconciled Cost Of Revenue,2709044011000.0,3795661728000.0,2826930295000.0,2755057908000.0
EBITDA,1907700025000.0,3075827952000.0,340496660000.0,1014447135000.0
EBIT,1862862855000.0,3030117106000.0,286284391000.0,957199701000.0
Net Interest Income,-610531611000.0,-765498632000.0,-816056052000.0,-762294702000.0
Interest Expense,638052888000.0,705424781000.0,743911025000.0,750187460000.0
Interest Income,53910093000.0,31454824000.0,28875239000.0,46475819000.0
Normalized Income,1172958657140.41,2011212219362.439,-570207562040.0,-129853253818.08113
Net Income From Continuing And Discontinued Operation,1082668010000.0,1994917035000.0,-650359568000.0,-136786109000.0
Total Expenses,3733228628000.0,4895421158000.0,3702132065000.0,3701844241000.0
Rent Expense Supplemental,2869794000.0,2216073000.0,3335603000.0,1702882000.0
Diluted Average Shares,,22699326779.0,22699326779.0,22152643979.0
Basic Average Shares,,22699326779.0,22699326779.0,22152643979.0
Diluted EPS,,87.88,-28.65,-6.17
Basic EPS,,87.88,-28.65,-6.17
Diluted NI Availto Com Stockholders,1082668010000.0,1994917035000.0,-650359568000.0,-136786109000.0
Net Income Common Stockholders,1082668010000.0,1994917035000.0,-650359568000.0,-136786109000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1082668010000.0,1994917035000.0,-650359568000.0,-136786109000.0
Minority Interests,-81850757000.0,-273993358000.0,-165131936000.0,-316930797000.0
Net Income Including Noncontrolling Interests,1164518767000.0,2268910393000.0,-485227632000.0,180144688000.0
Net Income Continuous Operations,1164518767000.0,2268910393000.0,-485227632000.0,180144688000.0
Tax Provision,60291200000.0,55781932000.0,27600998000.0,26867553000.0
Pretax Income,1224809967000.0,2324692325000.0,-457626634000.0,207012241000.0
Other Non Operating Income Expenses,927377395000.0,-747612818000.0,-133800281000.0,-332453640000.0
Special Income Charges,337840000.0,781403000.0,907782000.0,2858000.0
Other Special Charges,-337840000.0,-781403000.0,-907782000.0,-2858000.0
Net Non Operating Interest Income Expense,-610531611000.0,-765498632000.0,-816056052000.0,-762294702000.0
Total Other Finance Cost,26388816000.0,91528675000.0,101020266000.0,58583061000.0
Interest Expense Non Operating,638052888000.0,705424781000.0,743911025000.0,750187460000.0
Interest Income Non Operating,53910093000.0,31454824000.0,28875239000.0,46475819000.0
Operating Income,943423271000.0,3768403830000.0,554113280000.0,1254480455000.0
Operating Expense,1024184617000.0,1099759430000.0,875201770000.0,946786333000.0
Other Operating Expenses,54343091000.0,79485924000.0,64937158000.0,65712328000.0
Depreciation And Amortization In Income Statement,44837170000.0,45710846000.0,54212269000.0,57247434000.0
Depreciation Income Statement,44837170000.0,45710846000.0,54212269000.0,57247434000.0
Selling General And Administration,501858055000.0,537503277000.0,398538211000.0,389088337000.0
Selling And Marketing Expense,163945519000.0,166820837000.0,143400511000.0,123761931000.0
General And Administrative Expense,337912536000.0,370682440000.0,255137700000.0,265326406000.0
Rent And Landing Fees,2869794000.0,2216073000.0,3335603000.0,1702882000.0
Gross Profit,1967607888000.0,4868163260000.0,1429315050000.0,2201266788000.0
Cost Of Revenue,2709044011000.0,3795661728000.0,2826930295000.0,2755057908000.0
Total Revenue,4676651899000.0,8663824988000.0,4256245345000.0,4956324696000.0
Operating Revenue,4676651899000.0,8663824988000.0,4256245345000.0,4956324696000.0
